FRAGMENT_ID,FRAGMENT_FORMULA,FRAGMENT_EXACTMASS,FRAGMENT_DESCRIPTION,SMILES,INCHI,INCHIKEY,INSILICO,EMPIRICAL,FRAGMENT_CHARGE,FRAGMENT_RADICAL,EMPIRICAL_CITATION,INSILICO_CITATION
68,C9H7F13NO5S2,519.9564,"3-[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)amino]propane-1-sulfonate",O=S(=O)(NCCCS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C9H8F13NO5S2/c10-4(11,6(14,15)8(18,19)20)5(12,13)7(16,17)9(21,22)30(27,28)23-2-1-3-29(24,25)26/h23H,1-3H2,(H,24,25,26)/p-1",IFYYQLFVVGOIPH-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
69,C8F19O2S,520.9321,"2,2,3,3,4,4,5,5,6,6,7,7,8,8-tetradecafluoro-8-(pentafluoro-?6-sulfanyl)octanoate",FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([O-])=O)S(F)(F)(F)(F)F,"InChI=1S/C8HF19O2S/c9-2(10,1(28)29)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)30(23,24,25,26)27/h(H,28,29)/p-1",AJBZTNALOBRIRR-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
70,C15H20F13N2O4S,571.0942,unknown,NA,NA,NA,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
71,C15H20F13N2O5S,587.0891,unknown,NA,NA,NA,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
72,C14H18F13N2O5S2,605.0455,NA,[O-]S(=O)(=O)CCC[N+](C)(C)CCCN=S([O-])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C14H19F13N2O5S2/c1-29(2,7-4-8-35(30,31)32)6-3-5-28-36(33,34)14(26,27)12(21,22)10(17,18)9(15,16)11(19,20)13(23,24)25/h3-8H2,1-2H3,(H-,28,30,31,32,33,34)/p-1",LWMBJMDPHJXJBE-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
73,C8F21O3S2,606.8959,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluoro-8-(pentafluoro-?6-sulfanyl)octane-1-sulfonate",FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S([O-])(=O)=O)S(F)(F)(F)(F)F,"InChI=1S/C8HF21O3S2/c9-1(10,3(13,14)5(17,18)7(21,22)33(30,31)32)2(11,12)4(15,16)6(19,20)8(23,24)34(25,26,27,28)29/h(H,30,31,32)/p-1",PTFLVXXNVSLTOC-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
74,C14H18F13N2O6S2,621.0404,NA,[O-]S(=O)(=O)CC(O)C[N+](C)(C)CCCN=S([O-])(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C14H19F13N2O6S2/c1-29(2,6-8(30)7-36(31,32)33)5-3-4-28-37(34,35)14(26,27)12(21,22)10(17,18)9(15,16)11(19,20)13(23,24)25/h8,30H,3-7H2,1-2H3,(H-,28,31,32,33,34,35)/p-1",XUKRYIXWIZWDHP-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
75,C16H20F13N2O7S2,663.051,NA,[O-]S(=O)(=O)CCC[N+](C)(C)CCCN(CC([O-])=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C16H21F13N2O7S2/c1-31(2,7-4-8-39(34,35)36)6-3-5-30(9-10(32)33)40(37,38)16(28,29)14(23,24)12(19,20)11(17,18)13(21,22)15(25,26)27/h3-9H2,1-2H3,(H-,32,33,34,35,36)/p-1",ULXXTBSQAWPGEP-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
76,C17H24F13N2O8S3,727.0493,NA,[O-]S(=O)(=O)CC(O)C[N+](C)(C)CCCN(CCCS([O-])(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C17H25F13N2O9S3/c1-32(2,9-11(33)10-43(37,38)39)7-3-5-31(6-4-8-42(34,35)36)44(40,41)17(29,30)15(24,25)13(20,21)12(18,19)14(22,23)16(26,27)28/h11,33H,3-10H2,1-2H3,(H-,34,35,36,37,38,39)/p-1",CADQHTPHJVOMQH-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
77,C17H24F13N2O10S3,759.0391,NA,[O-]S(=O)(=O)CC(O)CN(CCC[N+](C)(C)CC(O)CS([O-])(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C17H25F13N2O10S3/c1-32(2,7-11(34)9-44(38,39)40)5-3-4-31(6-10(33)8-43(35,36)37)45(41,42)17(29,30)15(24,25)13(20,21)12(18,19)14(22,23)16(26,27)28/h10-11,33-34H,3-9H2,1-2H3,(H-,35,36,37,38,39,40)/p-1",HQILQIXAHVRCNF-UHFFFAOYSA-M,N,Y,N,N,DOI:10.1021/acs.est.6b05843,
78,C3H8N,58.0651,"N,N-dimethylmethaniminium",C=[N+](C)C,"InChI=1S/C3H8N/c1-4(2)3/h1H2,2-3H3/q+1",HYHSFFFCLDOXCJ-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
79,C3H9N,59.0735,"N,N-dimethylmethanamine",C[N+](C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3/q+1,INXJOSXEHHMQQF-UHFFFAOYSA-N,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
80,C3H10N,60.0808,"N,N-dimethylmethanaminium",C[NH+](C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3/p+1,GETQZCLCWQTVFV-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
81,C4H8N,70.0651,N-ethenyl-N-methylmethaniminium,C=C[N+](=C)C,"InChI=1S/C4H8N/c1-4-5(2)3/h4H,1-2H2,3H3/q+1",JXDMWZNCMAYHNB-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
82,C4H9N,71.0735,2-{[(1Z)-ethylidene]azaniumyl}ethyl,C\C=[NH+]/CC,"InChI=1S/C4H8N/c1-3-5-4-2/h4H,1,3H2,2H3/p+1/b5-4-",BLOYVGUIUMZREW-PLNGDYQASA-O,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
83,C4H10N,72.0808,"N,N-dimethylethenaminium",C=C[NH+](C)C,"InChI=1S/C4H9N/c1-4-5(2)3/h4H,1H2,2-3H3/p+1",NINOYJQVULROET-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
84,C4H11N,73.0891,(trimethylazaniumyl)methyl,C[N+](C)(C)C,"InChI=1S/C4H11N/c1-5(2,3)4/h1H2,2-4H3/q+1",ICMVWCDSYWPILR-UHFFFAOYSA-N,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
85,C5H10N,84.0808,N-methyl-N-(prop-2-en-1-yl)methaniminium,C=[N+](C)CC=C,"InChI=1S/C5H10N/c1-4-5-6(2)3/h4H,1-2,5H2,3H3/q+1",VANUGHFFEOAIOW-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
86,C5H11N,85.0891,[ethenyl(dimethyl)azaniumyl]methyl,C=C[N+](C)(C)C,"InChI=1S/C5H11N/c1-5-6(2,3)4/h5H,1-2H2,3-4H3/q+1",LCBRXUGRGGWIPL-UHFFFAOYSA-N,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
87,C5H12N,86.097,"N,N,N-trimethylethenaminium",C=C[N+](C)(C)C,"InChI=1S/C5H12N/c1-5-6(2,3)4/h5H,1H2,2-4H3/q+1",PPJWCUOWPVSSSW-UHFFFAOYSA-N,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
88,C5H13N,87.1048,"N,N-dimethylethenaminium",CCC[NH+](C)C,"InChI=1S/C5H12N/c1-4-5-6(2)3/h1,4-5H2,2-3H3/p+1",DQWDROQREMIGLE-UHFFFAOYSA-O,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
89,C4H12NO,90.0913,"2-hydroxy-N,N-dimethylethan-1-aminium",C[NH+](C)CCO,"InChI=1S/C4H11NO/c1-5(2)3-4-6/h6H,3-4H2,1-2H3/p+1",UEEJHVSXFDXPFK-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
90,C6H12N,98.0964,"N-ethenyl-N,N-dimethylethenaminium",C[NH+](C)CCO,"InChI=1S/C6H12N/c1-5-7(3,4)6-2/h5-6H,1-2H2,3-4H3/q+1",YTRPDSQEPGIYIP-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
91,C5H11N2,99.0917,"3-imino-N,N-dimethylpropan-1-iminium",C/[N+](C)=C\CC=N,"InChI=1S/C5H11N2/c1-7(2)5-3-4-6/h4-6H,3H2,1-2H3/q+1",PXEJHJUKEHNREH-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
92,C5H12NO,102.0913,N-(2-hydroxypropyl)-N-methylmethaniminium,C=[N+](C)CC(C)O,"InChI=1S/C5H12NO/c1-5(7)4-6(2)3/h5,7H,2,4H2,1,3H3/q+1",VCOZAAPSZPSMGZ-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
93,C4H10NO2,104.0706,"carboxy-N,N-dimethylmethanaminium",C[NH+](C)CC(=O)O,"InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)/p+1",FFDGPVCHZBVARC-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
94,C5H10NO2,116.0706,N-(carboxymethyl)-N-ethylmethaniminium,C=[N+](CC)CC(=O)O,"InChI=1S/C5H9NO2/c1-3-6(2)4-5(7)8/h2-4H2,1H3/p+1",DSHUMQFIFKUZTD-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
95,C6H14NO,116.107,"N,N,N-trimethyl-2-oxopropan-1-aminium",C[N+](C)(C)CC(C)=O,"InChI=1S/C6H14NO/c1-6(8)5-7(2,3)4/h5H2,1-4H3/q+1",LFWNPKYGVKNNAB-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
96,C6H14NO,116.107,"N-(2-hydroxyethyl)-N,N-dimethylethenaminium",C=C[N+](C)(C)CCO,"InChI=1S/C6H14NO/c1-4-7(2,3)5-6-8/h4,8H,1,5-6H2,2-3H3/q+1",HFPQPIXNUBINSG-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
97,C6H16N2,116.1313,[3-(trimethylazaniumyl)propyl]amino,C[N+](C)(C)CCCN,"InChI=1S/C6H16N2/c1-8(2,3)6-4-5-7/h7H,4-6H2,1-3H3/q+1",OBTWSXBOWZYZJG-UHFFFAOYSA-N,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
98,C4H7FNO2,120.0455,(E)-N-(carboxymethyl)(fluoro)-N-methylmethaniminium,F\C=[N+](/C)CC(=O)O,"InChI=1S/C4H6FNO2/c1-6(3-5)2-4(7)8/h3H,2H2,1H3/p+1/b6-3+",VKBZGWHYAUQDLW-ZZXKWVIFSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
99,C3H7O3S,123.011,3-sulfoprop-1-ylium,[CH2+]CCS(=O)(=O)O,"InChI=1S/C3H6O3S/c1-2-3-7(4,5)6/h1-3H2/p+1",WSUNSQZGODPNNI-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
100,C8H18N,128.1434,"N,N-dimethyl-N-propylprop-2-en-1-aminium",C=CC[N+](C)(C)CCC,"InChI=1S/C8H18N/c1-5-7-9(3,4)8-6-2/h5H,1,6-8H2,2-4H3/q+1",GWMFSRUXWIPWKW-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
101,C6H11NO2,129.079,N-(2-carboxyethyl)propan-1-iminium,CC\C=[N+]/CCC(=O)O,"InChI=1S/C6H11NO2/c1-2-4-7-5-3-6(8)9/h4H,2-3,5H2,1H3,(H,8,9)/q+1",AJTNUJNJKAGRGK-UHFFFAOYSA-N,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
102,C7H17N2,129.1386,"N,N,N-trimethyl-3-(methylideneamino)propan-1-aminium",C[N+](C)(C)CCCN=C,"InChI=1S/C7H17N2/c1-8-6-5-7-9(2,3)4/h1,5-7H2,2-4H3/q+1",FUNQVGSVKVXHQT-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
103,C7H18N2,130.147,methyl[3-(trimethylazaniumyl)propyl]amino,C[N+](C)(C)CCCNC,"InChI=1S/C7H18N2/c1-8-6-5-7-9(2,3)4/h5-7H2,1-4H3/q+1",IFZUXTOWHYGTFH-UHFFFAOYSA-N,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
104,C6H15N2O,131.1179,"2-hydroxy-3-imino-N,N,N-trimethylpropan-1-aminium",C[N+](C)(C)CC(O)C=N,"InChI=1S/C6H15N2O/c1-8(2,3)5-6(9)4-7/h4,6-7,9H,5H2,1-3H3/q+1",FQCRCNDQKWBFMM-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
105,C7H12FN2,143.0979,"(1E,3E)-N-ethenyl-3-(fluoroimino)-N,N-dimethylprop-1-en-1-aminium",C[N+](C)(C=C)/C=C/C=N/F,"InChI=1S/C7H12FN2/c1-4-10(2,3)7-5-6-9-8/h4-7H,1H2,2-3H3/q+1/b7-5+,9-6+",UOTYSAYFPANLNI-PDTNFJSOSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
106,C8H19N2,143.1543,"N-(3-aminopropyl)-N,N-dimethylprop-2-en-1-aminium",C[N+](C)(CC=C)CCCN,"InChI=1S/C8H19N2/c1-4-7-10(2,3)8-5-6-9/h4H,1,5-9H2,2-3H3/q+1",MARTZABHRGCWDE-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
107,C7H17N2O,145.1335,"N-(2-hydroxyethyl)-3-imino-N,N-dimethylpropan-1-aminium",C[N+](C)(CCC=N)CCO,"InChI=1S/C7H17N2O/c1-9(2,6-7-10)5-3-4-8/h4,8,10H,3,5-7H2,1-2H3/q+1",KOAJTGPBHOACSD-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
108,C8H19N2O,159.1492,"2-hydroxy-N-(3-iminopropyl)-N,N-dimethylpropan-1-aminium",C[N+](C)(CCC=N)CC(C)O,"InChI=1S/C8H19N2O/c1-8(11)7-10(2,3)6-4-5-9/h5,8-9,11H,4,6-7H2,1-3H3/q+1",GAFSQCVEPRNXJJ-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
109,C5H12NO3S,166.0532,"(2E)-N,N-dimethyl-3-sulfoprop-2-en-1-aminium",C[NH+](C)C\C=C\S(=O)(=O)O,"InChI=1S/C5H11NO3S/c1-6(2)4-3-5-10(7,8)9/h3,5H,4H2,1-2H3,(H,7,8,9)/p+1/b5-3+",ZHPXUCUZQZHHKR-HWKANZROSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
110,C5H14NO3S,168.0689,"N,N-dimethyl-3-sulfopropan-1-aminium",C[NH+](C)CCCS(=O)(=O)O,"InChI=1S/C5H13NO3S/c1-6(2)4-3-5-10(7,8)9/h3-5H2,1-2H3,(H,7,8,9)/p+1",GYJNVSAUBGJVLV-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
111,C8H15N2O2,171.1128,"(1E,3Z)-3-[(2-carboxyethyl)imino]-N,N-dimethylprop-1-en-1-aminium",O=C(O)CC/N=C\C=C\[NH+](C)C,"InChI=1S/C8H14N2O2/c1-10(2)7-3-5-9-6-4-8(11)12/h3,5,7H,4,6H2,1-2H3,(H,11,12)/p+1/b7-3+,9-5-",FRBABOJFQQNXTF-FSIVZHEYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
112,C6H13NO3S,179.0616,(2E)-3-(dimethylamino)but-2-ene-1-sulfonic acid,C/C(=C\CS(=O)(=O)O)[NH+](C)C,"InChI=1S/C6H13NO3S/c1-6(7(2)3)4-5-11(8,9)10/h4H,5H2,1-3H3,(H,8,9,10)/q+1",WJKPEZLYTCGCAS-UHFFFAOYSA-N,N,Y,P,Y,DOI:10.1021/acs.est.6b05843,
113,C5H14NO4S,184.0638,"2-hydroxy-N,N-dimethyl-3-sulfopropan-1-aminium",OC(C[NH+](C)C)CS(=O)(=O)O,"InChI=1S/C5H13NO4S/c1-6(2)3-5(7)4-11(8,9)10/h5,7H,3-4H2,1-2H3,(H,8,9,10)/p+1",WCSAPKHLAQFSIW-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
114,C10H21N2O,185.1648,"N-{3-[(Z)-(2-hydroxyethylidene)amino]propyl}-N,N-dimethylprop-2-en-1-aminium",C[N+](C)(CCC\N=C/CO)CC=C,"InChI=1S/C10H21N2O/c1-4-8-12(2,3)9-5-6-11-7-10-13/h4,7,13H,1,5-6,8-10H2,2-3H3/q+1/b11-7-",IFQWRQCRFJTYEJ-XFFZJAGNSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
115,C7H16NO3S,194.0845,"N-ethenyl-N,N-dimethyl-3-sulfopropan-1-aminium",C[N+](C)(CCCS(=O)(=O)O)C=C,"InChI=1S/C7H15NO3S/c1-4-8(2,3)6-5-7-12(9,10)11/h4H,1,5-7H2,2-3H3/p+1",BHIKMGJZWSYUBD-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
116,C6H16NO4S,198.0795,N-(2-hydroxyethyl)-N-methyl-3-sulfopropan-1-aminium,C[NH+](CCCS(=O)(=O)O)CCO,"InChI=1S/C6H15NO4S/c1-7(4-5-8)3-2-6-12(9,10)11/h8H,2-6H2,1H3,(H,9,10,11)/p+1",LDRXKBOBBCTASD-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
117,C9H21N2O3S,237.1267,"N,N-dimethyl-3-(methylideneamino)-N-(3-sulfopropyl)propan-1-aminium",C[N+](C)(CCCS(=O)(=O)O)CCCN=C,"InChI=1S/C9H20N2O3S/c1-10-6-4-7-11(2,3)8-5-9-15(12,13)14/h1,4-9H2,2-3H3/p+1",VLSDGXOGKURQLA-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
118,C10H23N2O3S,251.1424,"N-ethyl-N,N-dimethyl-3-[(E)-(3-sulfopropylidene)amino]propan-1-aminium",O=S(=O)(O)CC\C=N\CCC[N+](C)(C)CC,"InChI=1S/C10H22N2O3S/c1-4-12(2,3)9-5-7-11-8-6-10-16(13,14)15/h8H,4-7,9-10H2,1-3H3/p+1/b11-8+",YQFIRWULRCEFKZ-DHZHZOJOSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
119,C9H21N2O4S,253.1217,"3-[(Z)-(2-hydroxy-3-sulfopropylidene)amino]-N,N,N-trimethylpropan-1-aminium",OC(\C=N/CCC[N+](C)(C)C)CS(=O)(=O)O,"InChI=1S/C9H20N2O4S/c1-11(2,3)6-4-5-10-7-9(12)8-16(13,14)15/h7,9,12H,4-6,8H2,1-3H3/p+1/b10-7-",IULVDEQCVRHUMS-YFHOEESVSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
120,C11H23N2O4S,279.1373,"N-{3-[(Z)-(2-hydroxy-3-sulfopropylidene)amino]propyl}-N,N-dimethylprop-2-en-1-aminium",OC(\C=N/CCC[N+](C)(C)CC=C)CS(=O)(=O)O,"InChI=1S/C11H22N2O4S/c1-4-7-13(2,3)8-5-6-12-9-11(14)10-18(15,16)17/h4,9,11,14H,1,5-8,10H2,2-3H3/p+1/b12-9-",SEDNSKHGRRISPK-XFXZXTDPSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
121,C5H3F9NO2S,311.9735,"N-(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)methaniminium",FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)[NH+]=C,"InChI=1S/C5H2F9NO2S/c1-15-18(16,17)5(13,14)3(8,9)2(6,7)4(10,11)12/h1H2/p+1",SOUUICIEFQHVTQ-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
122,C7H3F13N,348.0052,N-(tridecafluorohexyl)methaniminium,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)[NH+]=C,"InChI=1S/C7H2F13N/c1-21-7(19,20)5(14,15)3(10,11)2(8,9)4(12,13)6(16,17)18/h1H2/p+1",MXUKAYYHZOVCTC-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
123,C8H7F9NO2S,352.0048,"1,1,2,2,3,3,4,4,4-nonafluoro-N-methyl-N-(prop-2-en-1-yl)butane-1-sulfonamide",FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CC=C,"InChI=1S/C8H8F9NO2S/c1-3-4-18(2)21(19,20)8(16,17)6(11,12)5(9,10)7(13,14)15/h3H,1,4H2,2H3",NKLBUQCIDPTZGK-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
124,C7H5F9NO4S,369.979,"N-(carboxymethyl)-N-(1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonyl)methaniminium",OC(=O)C[N+](=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7H4F9NO4S/c1-17(2-3(18)19)22(20,21)7(15,16)5(10,11)4(8,9)6(12,13)14/h1-2H2/p+1",YPSDAUIGSZXAAQ-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
125,C10H9F13N,390.0522,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-N,N-dimethyloctan-1-iminium",FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C\C=[N+](\C)C,"InChI=1S/C10H9F13N/c1-24(2)4-3-5(11,12)6(13,14)7(15,16)8(17,18)9(19,20)10(21,22)23/h4H,3H2,1-2H3/q+1",JTKLDIONVHGWDO-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
126,C7H3F13NO2S,411.9671,"N-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)methaniminium",FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)[NH+]=C,"InChI=1S/C7H2F13NO2S/c1-21-24(22,23)7(19,20)5(14,15)3(10,11)2(8,9)4(12,13)6(16,17)18/h1H2/p+1",MQGJDXVTRVBVMW-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
127,C8H5F13NO2S,425.9828,"(1E)-N-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethaniminium",FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)\[NH+]=C\C,"InChI=1S/C8H4F13NO2S/c1-2-22-25(23,24)8(20,21)6(15,16)4(11,12)3(9,10)5(13,14)7(17,18)19/h2H,1H3/p+1/b22-2+",ZXWCWXFAQWALHA-QOABUSIESA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
128,C9H5F13NO2S,437.9828,"(1E)-N-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)prop-2-en-1-iminium",C=C\C=[NH+]\S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C9H4F13NO2S/c1-2-3-23-26(24,25)9(21,22)7(16,17)5(12,13)4(10,11)6(14,15)8(18,19)20/h2-3H,1H2/p+1/b23-3+",HJCDRIBNNRBUTL-LTGYVZTRSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
129,C9H7F13NO2S,439.9984,"1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-(prop-2-en-1-yl)hexane-1-sulfonamide",FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC=C,"InChI=1S/C9H6F13NO2S/c1-2-3-23-26(24,25)9(21,22)7(16,17)5(12,13)4(10,11)6(14,15)8(18,19)20/h2,23H,1,3H2",OEYYQKXFSDVKJI-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
130,C12H13F13NO2,450.0733,"N-(carboxymethyl)-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-N,N-dimethyloctan-1-aminium",C[N+](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O,"InChI=1S/C12H12F13NO2/c1-26(2,5-6(27)28)4-3-7(13,14)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h3-5H2,1-2H3/p+1",GAEUOVYQCKBCJA-UHFFFAOYSA-O,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
131,C10H7F13NO2S,451.9984,"N-(prop-2-en-1-yl)-N-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)methaniminium",C=CC[N+](=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C10H7F13NO2S/c1-3-4-24(2)27(25,26)10(22,23)8(17,18)6(13,14)5(11,12)7(15,16)9(19,20)21/h3H,1-2,4H2/q+1",HJQMDAVVSJTURM-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
132,C10H9F13NO2S,454.0141,"3-[methyl(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)amino]prop-1-ylium",FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CC[CH2+],"InChI=1S/C10H9F13NO2S/c1-3-4-24(2)27(25,26)10(22,23)8(17,18)6(13,14)5(11,12)7(15,16)9(19,20)21/h1,3-4H2,2H3/q+1",JOMJZZNZUWYREL-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
133,C9H7F13NO3S,455.9934,"N-(2-hydroxyethyl)-N-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)methaniminium",OCC[N+](=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C9H7F13NO3S/c1-23(2-3-24)27(25,26)9(21,22)7(16,17)5(12,13)4(10,11)6(14,15)8(18,19)20/h24H,1-3H2/q+1",XLBWNPRRPUSISG-UHFFFAOYSA-N,N,Y,P,N,DOI:10.1021/acs.est.6b05843,
