id,category,name,obtained_from,source_type,additional,local_pos,local_neg,formula,fixedmass,netcharge,inspected_by,inspected_on
1661,2,"Tris(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) phosphate",https://comptox.epa.gov/dashboard,1,Individual.Acronym:8:2 triPAPs;Class.in.source.paper:NA;Discovered.By:Trier et al 2011;Class.Name:Fluorotelomer phosphate triester;Class.Acronym:tri-PAPs;Super.Class.1:fluorotelomer phosphate ester;Super.Class.2:Fluorinated PA;Historical.Acronym.s.:NA;Historical.name.s.:x:2/y:2/z:2 FTOH trisubstituted phosphate surfactant,0,0,C30H12F51O4P,1435.965885,0,,
1662,2,2-(Perfluorooctyl)ethanthiol,https://comptox.epa.gov/dashboard,1,NA,0,0,C10H5F17S,479.9840509,0,,
1663,2,"10-(Ethenesulfonyl)-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorodecane",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H7F17O2S,537.9895302,0,,
1664,2,"1-Decanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H4ClF17O2S,545.9349078,0,,
1665,2,"Thiocyanic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H4F17NS,504.9792999,0,,
1666,2,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Heptadecafluoro-10-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)sulfanyl]decane",https://comptox.epa.gov/dashboard,1,NA,0,0,C20H8F34S,925.9803807,0,,
1667,2,"Bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) disulphide",https://comptox.epa.gov/dashboard,1,NA,0,0,C20H8F34S2,957.9524517,0,,
1668,2,1-Chloroheptadecafluorooctane,https://comptox.epa.gov/dashboard,1,NA,0,0,C8ClF17,453.9417074,0,,
1669,2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononyl acrylate",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H5F17O2,504.0018091,0,,
1670,2,Perfluorooctane,https://comptox.epa.gov/dashboard,1,NA,0,0,C8F18,437.971258,0,,
